title,year,rating,views,genre,duration,director
Django Unchained,2012,8.4/10,1.5M,Drama,2h 45m,Quentin Tarantino
Once Upon a Time in the West,1968,8.5/10,330K,Western,2h 45m,Sergio Leone
Cinema Paradiso,1988,8.5/10,262K,Drama,2h 35m,Giuseppe Tornatore
Apocalypse Now,1979,8.5/10,667K,Drama,2h 27m,Francis Ford Coppola
Alien,1979,8.5/10,881K,Horror,1h 57m,Ridley Scott
Modern Times,1936,8.5/10,243K,Comedy,1h 27m,Charles Chaplin
City Lights,1931,8.5/10,185K,Comedy,1h 27m,Charles Chaplin
Rear Window,1954,8.5/10,492K,Mystery,1h 52m,Alfred Hitchcock
Memento,2000,8.4/10,1.2M,Mystery,1h 53m,Christopher Nolan
Harakiri,1962,8.6/10,58K,Action,2h 13m,Masaki Kobayashi
The Intouchables,2011,8.5/10,856K,Biography,1h 52m,Olivier Nakache
Grave of the Fireflies,1988,8.5/10,277K,Animation,1h 29m,Isao Takahata
Casablanca,1942,8.5/10,572K,Drama,1h 42m,Michael Curtiz
Whiplash,2014,8.5/10,856K,Drama,1h 46m,Damien Chazelle
The Usual Suspects,1995,8.5/10,1.1M,Crime,1h 46m,Bryan Singer
The Prestige,2006,8.5/10,1.3M,Drama,2h 10m,Christopher Nolan
The Departed,2006,8.5/10,1.3M,Crime,2h 31m,Martin Scorsese
Léon: The Professional,1994,8.5/10,1.2M,Action,1h 50m,Luc Besson
American History X,1998,8.5/10,1.1M,Crime,1h 59m,Tony Kaye
The Pianist,2002,8.5/10,830K,Biography,2h 30m,Roman Polanski
Parasite,2019,8.5/10,796K,Drama,2h 12m,Bong Joon Ho
Spirited Away,2001,8.6/10,761K,Animation,2h 5m,Hayao Miyazaki
Gladiator,2000,8.5/10,1.5M,Action,2h 35m,Ridley Scott
Psycho,1960,8.5/10,671K,Horror,1h 49m,Alfred Hitchcock
The Lion King,1994,8.5/10,1.1M,Animation,1h 28m,Roger Allers
Saving Private Ryan,1998,8.6/10,1.4M,Drama,2h 49m,Steven Spielberg
Life Is Beautiful,1997,8.6/10,694K,Comedy,1h 56m,Roberto Benigni
Back to the Future,1985,8.5/10,1.2M,Adventure,1h 56m,Robert Zemeckis
Terminator 2: Judgment Day,1991,8.6/10,1.1M,Action,2h 17m,James Cameron
The Green Mile,1999,8.6/10,1.3M,Crime,3h 9m,Frank Darabont
Star Wars: Episode IV - A New Hope,1977,8.6/10,1.4M,Action,2h 1m,George Lucas
Interstellar,2014,8.6/10,1.8M,Adventure,2h 49m,Christopher Nolan
City of God,2002,8.6/10,756K,Crime,2h 10m,Fernando Meirelles
Seven Samurai,1954,8.6/10,346K,Action,3h 27m,Akira Kurosawa
Goodfellas,1990,8.7/10,1.2M,Biography,2h 25m,Martin Scorsese
Se7en,1995,8.6/10,1.6M,Crime,2h 7m,David Fincher
It's a Wonderful Life,1946,8.6/10,456K,Drama,2h 10m,Frank Capra
The Silence of the Lambs,1991,8.6/10,1.4M,Crime,1h 58m,Jonathan Demme
One Flew Over the Cuckoo's Nest,1975,8.7/10,1M,Drama,2h 13m,Milos Forman
